Laureate ID,Laureate name,Prize year,Title,Pub year,Paper ID,DOI,Journal,Affiliation,Is prize-winning paper,field,p-value,Gender,citation_count
10057,"perl, ml",1995,the physics of the b factories,2014.0,2103819515.0,10.1140/epjc/s10052-014-3026-9,european physical journal c,ben gurion university of the negev,NO,Physics,0.054140127388535,male,304.0
10057,"perl, ml",1995,limits on the decay rate difference of neutralbmesons and oncp t andcptviolation inb0b 0oscillations,2004.0,2314761434.0,10.1103/PhysRevLett.92.181801,physical review letters,ben gurion university of the negev,NO,Physics,0.054140127388535,male,31.0
10057,"perl, ml",1995,measurement of time dependent cp violating asymmetries and constraints on sin 2  with partial reconstruction of b d  decays,2005.0,2182208603.0,10.1103/PhysRevD.71.112003,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,25.0
10057,"perl, ml",1995,measurement of the branching fractions  and k ,1986.0,2599997245.0,10.1103/PhysRevLett.56.812,physical review letters,ben gurion university of the negev,NO,Physics,0.054140127388535,male,30.0
10057,"perl, ml",1995,measurement of the branching fraction for  ,1979.0,2409960617.0,10.1103/PhysRevLett.43.1555,physical review letters,ben gurion university of the negev,NO,Physics,0.054140127388535,male,20.0
10057,"perl, ml",1995,observation of b  k0 and measurement of its branching fraction and charge asymmetry,2007.0,2104254519.0,10.1103/PhysRevD.76.011103,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,8.0
10057,"perl, ml",1995,study of e e pp using initial state radiation with babar,2006.0,8296297.0,10.1103/PhysRevD.73.012005,physical review d,ben gurion university of the negev,NO,Physics,0.054140127388535,male,209.0
10057,"perl, ml",1995,azimuthal asymmetry in inclusive hadron production by e e annihilation,1975.0,1978613741.0,10.1103/PhysRevLett.35.1320,physical review letters,ben gurion university of the negev,NO,Physics,0.054140127388535,male,78.0
10057,"perl, ml",1995,observation ofb  k and evidence forb  ,2007.0,2314906233.0,10.1103/PhysRevLett.98.051802,physical review letters,ben gurion university of the negev,NO,Physics,0.054140127388535,male,7.0
10057,"perl, ml",1995,observation of the decayb ds k l  l,2011.0,2314986232.0,10.1103/PhysRevLett.107.041804,physical review letters,ben gurion university of the negev,NO,Physics,0.054140127388535,male,9.0
